Hotel Names,Star Rating,Rating,Free Parking,Fitness Centre,Spa and Wellness Centre,Airport Shuttle,Staff,Facilities,Location,Comfort,Cleanliness,Price Per Day($)
Kenut Hostel,None,9.7,Yes,No,No,No,9.9,9.8,8.8,9.7,9.8,30
Kantar Hostel,None,9.3,Yes,No,No,Yes,9.7,9.4,9.7,9.2,9.2,15
Sweet Sleep hostel,None,9.5,Yes,No,No,No,9.8,9.5,8.9,9.4,9.5,20
Royal Boutique Hotel on Kievyan,None,7.4,Yes,No,No,Yes,8.1,7.3,8.3,7.5,7.8,26
Areg Hotel,3,8.2,No,No,No,No,9.1,8.0,8.3,8.1,8.2,29
One Day Hotel,None,8.8,Yes,No,No,Yes,9.0,8.4,9.3,8.8,8.8,62
Arève Résidence Boutique Hotel,None,9.0,Yes,No,No,Yes,9.5,9.1,7.6,9.1,9.2,47.5
Aeka hotel,4,9.2,Yes,No,No,Yes,8.8,8.8,8.8,9.4,8.8,45
Seasons Hotel,None,9.0,Yes,No,No,Yes,9.4,8.9,9.7,9.1,9.1,60
AS hotel,None,7.2,Yes,No,Yes,Yes,8.0,7.8,8.5,7.8,7.8,45
ABC HOTEL,None,7.8,Yes,No,No,Yes,8.8,7.9,8.8,7.9,8.1,49.5
Alba Hotel Yerevan,3,8.8,Yes,No,No,Yes,9.6,8.6,9.0,8.6,8.7,49.5
Olive hotel,4,8.2,Yes,No,No,Yes,9.1,8.1,9.3,8.1,8.3,53
Friendly Hotel,3,8.1,Yes,No,No,Yes,8.9,8.2,8.9,8.4,8.3,49.5
Hotel Fleur Yerevan,3,8.7,No,No,No,Yes,9.5,8.5,9.6,8.8,8.9,56
DeLin Hotel And Tours,None,8.8,Yes,No,No,Yes,9.5,8.7,9.1,8.9,9.1,46
AnnaBella Boutique Hotel,None,8.6,Yes,No,No,Yes,9.3,8.4,8.4,8.7,8.6,52
Altunyan Hotel,4,8.8,Yes,No,No,Yes,9.3,8.7,8.7,9.1,9.0,52.5
New York Capsule Hotel,4,7.2,Yes,No,No,No,7.9,7.1,8.7,7.4,7.0,34
YAN HOTEL,3,9.3,Yes,No,No,Yes,9.7,9.3,8.9,9.2,9.2,37.5
Yerevan Resident Hotel,5,7.1,Yes,No,No,Yes,8.0,7.3,8.9,7.7,7.5,150
Mario in New York Hotel,5,5.0,Yes,Yes,Yes,No,7.5,2.5,7.5,5.0,5.0,110
Avan Plaza Hotel,None,8.4,Yes,No,No,No,8.8,8.4,7.8,8.6,8.4,112.5
Vicky’s Corner,None,None,Yes,No,No,Yes,None,None,None,None,None,136
Cozy & Nice Villa Near Rio Mall,4,None,Yes,No,No,Yes,None,None,None,None,None,330
Soho Apart Hotel,4,8.8,No,No,No,Yes,9.4,9.0,9.5,9.3,9.0,117.5
Hotel Dynasty,4,9.6,Yes,No,No,Yes,9.8,9.6,8.4,9.7,9.7,113
Monk House,None,8.3,No,No,No,Yes,9.6,8.3,9.7,8.8,8.5,113
Royal Plaza by Stellar Hotels Yerevan,4,8.2,Yes,No,No,Yes,8.8,8.0,9.5,8.4,8.3,111.5
Cross Resort Hotel,4,8.6,Yes,Yes,Yes,Yes,9.4,8.6,8.1,8.5,8.5,129
La Defense Hotel Yerevan,4,9.0,No,Yes,No,Yes,9.4,9.0,7.3,9.2,9.3,125
Moscow Boutique Hotel,3,8.4,No,No,No,Yes,9.1,8.4,9.7,8.7,8.8,110
hotelise I Tonic Apartment,4,8.2,No,No,No,No,9.5,9.5,10,9.5,10,113.5
Regineh Hotel,4,8.2,Yes,No,No,Yes,8.7,8.2,7.5,8.3,8.3,112.5
Sweet Home Apart-Hotel,4,9.3,Yes,No,No,Yes,9.1,9.4,9.8,9.4,9.3,122
